Force,Displacement,Velocity
242.96,0.01062266,1.0428
242.96,0.01067148,1.03792
245.38,0.01072031,1.02816
245.38,0.01081797,1.01839
245.38,0.0108668,1.00863
245.38,0.01091562,0.99398
240.54,0.01096445,0.96956
238.12,0.01101328,0.94027
235.7,0.01111094,0.92073
235.7,0.01115977,0.90609
233.29,0.01120859,0.88655
233.29,0.01125742,0.86702
233.29,0.01130625,0.85237
233.29,0.01135508,0.85237
233.29,0.01140391,0.85237
233.29,0.01145273,0.85237
230.87,0.01150156,0.83284
230.87,0.01155039,0.80843
230.87,0.01159922,0.78402
230.87,0.01164805,0.76448
228.45,0.01169687,0.74495
228.45,0.01169687,0.72542
228.45,0.01179453,0.70589
228.45,0.01179453,0.68636
226.03,0.01184336,0.66195
226.03,0.01189219,0.64241
226.03,0.01194102,0.62777
226.03,0.01198984,0.61312
223.61,0.01198984,0.59359
223.61,0.01203867,0.57894
223.61,0.0120875,0.56917
226.03,0.01213633,0.55452
223.61,0.01213633,0.53987
221.2,0.01218516,0.52034
221.2,0.01218516,0.5057
218.78,0.01223398,0.49105
216.36,0.01228281,0.4764
216.36,0.01228281,0.45687
213.94,0.01233164,0.43245
213.94,0.01238047,0.40804
211.52,0.01238047,0.38363
211.52,0.0124293,0.36898
211.52,0.0124293,0.35921
209.11,0.0124293,0.35433
209.11,0.01247812,0.34456
206.69,0.01247812,0.32015
206.69,0.01247812,0.30062
206.69,0.01252695,0.29085
204.27,0.01252695,0.28597
201.85,0.01252695,0.26155
201.85,0.01257578,0.23226
199.43,0.01257578,0.20296
197.02,0.01257578,0.1932
197.02,0.01262461,0.18343
194.6,0.01262461,0.16878
192.18,0.01262461,0.14437
189.76,0.01262461,0.11995
187.34,0.01262461,0.11019
184.93,0.01262461,0.1053
182.51,0.01262461,0.09554
177.67,0.01262461,0.07113
172.84,0.01262461,0.04183
165.58,0.01262461,0.01253
160.75,0.01262461,-0.00212
155.91,0.01262461,-0.007
148.66,0.01262461,-0.01677
