Force,Displacement,Velocity
-714.56,0.00935312,-1.28141
-724.23,0.0093043,-1.30583
-731.48,0.00920664,-1.31559
-738.74,0.00910898,-1.32048
-743.57,0.00906016,-1.32536
-748.41,0.0089625,-1.32536
-755.66,0.00886484,-1.32536
-762.92,0.00881602,-1.33024
-767.75,0.00871836,-1.34001
-770.17,0.00866953,-1.34977
-772.59,0.00857187,-1.36442
-779.84,0.00847422,-1.3986
-784.68,0.00837656,-1.43278
-789.52,0.00832773,-1.45231
-791.93,0.00823008,-1.45231
-796.77,0.00813242,-1.44743
-799.19,0.00803477,-1.44255
-801.6,0.00793711,-1.44255
-801.6,0.00788828,-1.44255
-804.02,0.00779063,-1.44743
-806.44,0.00769297,-1.46696
-808.86,0.00759531,-1.49137
-811.28,0.00754648,-1.52067
-813.69,0.00744883,-1.5402
-818.53,0.00735117,-1.54997
-823.37,0.00725352,-1.55973
-828.2,0.00715586,-1.54997
-833.04,0.0070582,-1.53044
-837.87,0.00696055,-1.51091
-845.13,0.00686289,-1.51091
-849.96,0.00676523,-1.52067
-857.22,0.00666758,-1.54509
-862.05,0.00656992,-1.56462
-866.89,0.00647227,-1.58903
-874.14,0.00637461,-1.61345
-881.4,0.00632578,-1.63786
-886.23,0.00622813,-1.64274
-893.49,0.00608164,-1.63786
-903.16,0.00603281,-1.62809
-910.41,0.00593516,-1.61345
-920.09,0.0058375,-1.60368
-927.34,0.00573984,-1.5988
-937.01,0.00559336,-1.60368
-944.27,0.0054957,-1.61833
-953.94,0.00539805,-1.63786
-961.19,0.00534922,-1.65739
-968.44,0.00520273,-1.67204
-975.7,0.00510508,-1.68669
-985.37,0.00500742,-1.69645
-995.04,0.00490977,-1.70622
-1002.3,0.00481211,-1.70134
-1009.55,0.00471445,-1.69645
-1019.22,0.0046168,-1.6818
-1028.89,0.00451914,-1.6818
-1038.57,0.00442148,-1.68669
-1048.24,0.004275,-1.69645
-1055.49,0.00417734,-1.70622
-1062.75,0.00407969,-1.71598
-1070,0.00398203,-1.73552
-1077.25,0.00388438,-1.75505
-1086.93,0.00378672,-1.75993
-1094.18,0.00368906,-1.75505
-1101.43,0.00354258,-1.7404
-1111.11,0.00344492,-1.73552
-1118.36,0.00334727,-1.73063
-1125.61,0.00324961,-1.73063
-1135.28,0.00310313,-1.72575
-1140.12,0.00300547,-1.72575
-1147.37,0.00290781,-1.74528
-1152.21,0.00281016,-1.7697
-1159.46,0.0027125,-1.79411
-1166.72,0.00261484,-1.80876
-1173.97,0.00251719,-1.80876
-1178.81,0.00241953,-1.80876
-1183.64,0.00227305,-1.80387
-1190.9,0.00217539,-1.79899
-1198.15,0.00207773,-1.78434
-1200.57,0.00198008,-1.76481
-1205.41,0.00188242,-1.75505
-1210.24,0.00173594,-1.75505
-1217.5,0.00163828,-1.7697
-1222.33,0.00154063,-1.79411
-1224.75,0.00144297,-1.81852
-1229.59,0.00134531,-1.83317
-1234.42,0.00124766,-1.83805
-1239.26,0.00110117,-1.84294
-1241.68,0.00105234,-1.83805
-1244.09,0.00090586,-1.82341
-1246.51,0.0008082,-1.80387
-1251.35,0.00071055,-1.78434
-1253.77,0.00061289,-1.77458
-1256.18,0.00046641,-1.7697
-1261.02,0.00036875,-1.77946
-1263.44,0.00022227,-1.79899
-1265.86,0.00017344,-1.81852
-1265.86,0.00002695,-1.82829
-1268.27,-0.0000707,-1.82829
-1268.27,-0.00016836,-1.82829
-1270.69,-0.00031484,-1.82341
-1268.27,-0.0004125,-1.81364
-1268.27,-0.00051016,-1.80876
-1270.69,-0.00060781,-1.79899
-1273.11,-0.00070547,-1.79411
-1273.11,-0.00085195,-1.78923
-1273.11,-0.00090078,-1.77946
-1273.11,-0.00104727,-1.77946
-1273.11,-0.00114492,-1.78923
-1275.53,-0.00129141,-1.80387
-1273.11,-0.00138906,-1.81364
-1270.69,-0.00148672,-1.81364
-1265.86,-0.00158437,-1.80876
-1265.86,-0.00173086,-1.80876
-1265.86,-0.00182852,-1.80387
-1265.86,-0.00192617,-1.78923
-1265.86,-0.00202383,-1.77458
-1263.44,-0.00212148,-1.75016
-1261.02,-0.00226797,-1.74528
-1258.6,-0.00236562,-1.75016
-1258.6,-0.00246328,-1.7697
-1256.18,-0.00260977,-1.77946
-1253.77,-0.00265859,-1.78434
-1248.93,-0.00280508,-1.77946
-1244.09,-0.00290273,-1.77946
-1241.68,-0.00300039,-1.78434
-1239.26,-0.00314687,-1.78923
-1234.42,-0.00324453,-1.77458
-1232,-0.00334219,-1.75016
-1227.17,-0.00343984,-1.73063
-1222.33,-0.0035375,-1.72087
-1217.5,-0.00363516,-1.72087
-1212.66,-0.00378164,-1.71598
-1207.82,-0.0038793,-1.71598
-1202.99,-0.00397695,-1.72575
-1198.15,-0.00407461,-1.73552
-1190.9,-0.00417227,-1.7404
-1186.06,-0.00426992,-1.73552
-1181.23,-0.00436758,-1.72575
-1176.39,-0.00446523,-1.7111
-1169.14,-0.00461172,-1.70134
-1164.3,-0.00470937,-1.6818
-1157.05,-0.00480703,-1.66716
-1152.21,-0.00490469,-1.66716
-1142.54,-0.00500234,-1.66716
-1137.7,-0.0051,-1.66716
-1130.45,-0.00519766,-1.66227
-1123.19,-0.00529531,-1.66227
-1113.52,-0.00539297,-1.66716
-1106.27,-0.00553945,-1.67204
-1099.02,-0.00563711,-1.66227
-1089.34,-0.00573477,-1.64274
-1079.67,-0.00583242,-1.62809
-1072.42,-0.00593008,-1.62321
-1062.75,-0.00602773,-1.61833
-1055.49,-0.00612539,-1.61345
-1045.82,-0.00622305,-1.60368
-1036.15,-0.0063207,-1.5988
-1026.48,-0.00641836,-1.58903
-1016.8,-0.00651602,-1.58415
-1004.71,-0.00661367,-1.5695
-995.04,-0.0066625,-1.5695
-985.37,-0.00680898,-1.56462
-975.7,-0.00690664,-1.55485
-966.03,-0.00695547,-1.53532
-956.35,-0.00705312,-1.52067
-944.27,-0.00715078,-1.51579
-932.18,-0.00724844,-1.51091
-922.5,-0.00734609,-1.50602
-912.83,-0.00744375,-1.49626
-898.32,-0.00754141,-1.48649
-883.82,-0.00763906,-1.48649
-871.73,-0.00773672,-1.48649
-862.05,-0.00783437,-1.48649
-852.38,-0.0078832,-1.46696
-837.87,-0.00798086,-1.44255
-825.78,-0.00807852,-1.42302
-811.28,-0.00812734,-1.41325
-799.19,-0.008225,-1.40837
-787.1,-0.00832266,-1.3986
-772.59,-0.00842031,-1.38395
-758.08,-0.00851797,-1.35954
-743.57,-0.00861563,-1.34001
-731.48,-0.00866445,-1.33512
-721.81,-0.00876211,-1.33512
-709.72,-0.00885977,-1.33512
-697.63,-0.00890859,-1.32048
-683.12,-0.00900625,-1.30583
-673.45,-0.00910391,-1.29606
-661.36,-0.00915273,-1.30095
-651.69,-0.00925039,-1.30095
-637.18,-0.00929922,-1.28141
-622.68,-0.00939688,-1.24235
-608.17,-0.0094457,-1.21305
-598.5,-0.00954336,-1.20329
-586.41,-0.00959219,-1.19841
-579.15,-0.00968984,-1.18376
-567.06,-0.0097875,-1.15934
-554.97,-0.00983633,-1.13981
-545.3,-0.00993398,-1.12516
-538.05,-0.00998281,-1.12516
-528.37,-0.01008047,-1.1154
-518.7,-0.0101293,-1.10075
-506.61,-0.01017813,-1.08122
-496.94,-0.01027578,-1.06657
-489.69,-0.01032461,-1.0568
-482.43,-0.01037344,-1.04216
-472.76,-0.01042227,-1.02751
-463.09,-0.01051992,-1.00309
-455.84,-0.01056875,-0.97868
-446.16,-0.01066641,-0.96403
-441.33,-0.01071523,-0.94938
-431.66,-0.01076406,-0.92985
-421.98,-0.01081289,-0.90544
-412.31,-0.01086172,-0.87614
-402.64,-0.01095938,-0.84684
-392.97,-0.01095938,-0.8322
-385.71,-0.0110082,-0.82243
-378.46,-0.01105703,-0.80778
-366.37,-0.01115469,-0.77848
-356.7,-0.01120352,-0.75407
-347.03,-0.01120352,-0.73942
-342.19,-0.01130117,-0.73942
-334.94,-0.01130117,-0.73454
-325.27,-0.01139883,-0.70524
-310.76,-0.01139883,-0.67106
-298.67,-0.01144766,-0.65153
-291.41,-0.01149648,-0.64177
-284.16,-0.01154531,-0.64177
-274.49,-0.01159414,-0.62223
-262.4,-0.01159414,-0.59294
-252.73,-0.01164297,-0.57341
-245.47,-0.0116918,-0.56852
-240.64,-0.01174063,-0.56364
-230.96,-0.01174063,-0.54411
-218.87,-0.01178945,-0.50993
-206.78,-0.01183828,-0.48063
-199.53,-0.01183828,-0.46598
-192.28,-0.01188711,-0.4611
-182.61,-0.01188711,-0.45134
-172.93,-0.01193594,-0.42204
-160.84,-0.01193594,-0.38786
