Force,Displacement,Velocity
1.1231,1.93125,-1.92595
1.11584,1.78477,-1.93083
1.10859,1.68711,-1.92595
1.09892,1.54063,-1.92595
1.08925,1.44297,-1.93083
1.07957,1.34531,-1.93571
1.0699,1.19883,-1.93083
1.06265,1.10117,-1.92106
1.0554,1.00352,-1.9113
1.04814,0.85703,-1.92106
1.03847,0.75938,-1.93571
1.03122,0.66172,-1.94548
1.02396,0.56406,-1.95524
1.01671,0.41758,-1.96012
1.00704,0.31992,-1.96012
0.99978,0.17344,-1.96501
0.99011,0.07578,-1.96501
0.98286,-0.0707,-1.96501
0.9756,-0.16836,-1.96012
0.96835,-0.26602,-1.95036
0.96109,-0.4125,-1.94059
0.95142,-0.55898,-1.94059
0.94417,-0.65664,-1.94059
0.9345,-0.7543,-1.94548
0.92482,-0.85195,-1.95524
0.91999,-0.94961,-1.95036
0.91273,-1.09609,-1.94548
0.90548,-1.19375,-1.94548
0.89823,-1.29141,-1.94059
0.89097,-1.43789,-1.94059
0.88372,-1.58437,-1.93083
0.87647,-1.68203,-1.92106
0.87163,-1.77969,-1.92106
0.86196,-1.92617,-1.92595
0.85229,-2.02383,-1.93571
0.84503,-2.17031,-1.93083
0.8402,-2.26797,-1.91618
0.83294,-2.36562,-1.90641
0.82811,-2.51211,-1.9113
0.82085,-2.60977,-1.91618
0.81602,-2.70742,-1.9113
0.80876,-2.80508,-1.90641
0.80393,-2.95156,-1.90641
0.79667,-3.04922,-1.9113
0.78942,-3.14687,-1.92106
0.78216,-3.29336,-1.91618
0.77733,-3.39102,-1.90153
0.77249,-3.48867,-1.88688
0.76766,-3.63516,-1.88688
0.7604,-3.73281,-1.882
0.75557,-3.83047,-1.87712
0.74831,-3.97695,-1.86247
0.74348,-4.07461,-1.8527
0.73622,-4.17227,-1.8527
0.72897,-4.26992,-1.85759
0.72172,-4.36758,-1.8527
0.71688,-4.46523,-1.83805
0.71204,-4.56289,-1.81852
0.70963,-4.66055,-1.80387
0.70479,-4.7582,-1.79899
0.69995,-4.90469,-1.78923
0.69512,-5.00234,-1.77946
0.69028,-5.1,-1.7697
0.68061,-5.19766,-1.75993
0.67577,-5.29531,-1.75016
0.67094,-5.4418,-1.73063
0.6661,-5.53945,-1.71598
0.66127,-5.63711,-1.70622
0.65643,-5.73477,-1.69645
0.65159,-5.83242,-1.68669
0.64676,-5.93008,-1.67204
0.64434,-6.02773,-1.66716
0.63709,-6.12539,-1.67204
0.63225,-6.22305,-1.67204
0.62741,-6.36953,-1.66716
0.62258,-6.41836,-1.66227
0.61774,-6.56484,-1.65251
0.61291,-6.61367,-1.65251
0.61049,-6.71133,-1.64274
0.60565,-6.80898,-1.62809
0.60323,-6.90664,-1.60368
0.5984,-7.0043,-1.58903
0.59115,-7.10195,-1.57438
0.58631,-7.19961,-1.56462
0.58389,-7.29727,-1.54997
0.57906,-7.39492,-1.52555
0.57422,-7.44375,-1.50602
0.56938,-7.54141,-1.49626
0.56455,-7.63906,-1.48161
0.56213,-7.73672,-1.46696
0.55971,-7.83437,-1.44743
0.55729,-7.93203,-1.43766
0.55246,-8.02969,-1.43766
0.54762,-8.12734,-1.44255
0.54279,-8.17617,-1.44255
0.53795,-8.27383,-1.43278
0.53553,-8.37148,-1.4279
0.52828,-8.46914,-1.4279
0.52102,-8.51797,-1.43278
0.51377,-8.61563,-1.41813
0.51135,-8.66445,-1.39372
0.5041,-8.76211,-1.36442
0.49926,-8.81094,-1.34489
0.48959,-8.90859,-1.32536
0.48475,-9.00625,-1.30095
0.48234,-9.05508,-1.26677
0.47992,-9.15273,-1.23747
0.47508,-9.25039,-1.22282
0.46783,-9.29922,-1.22282
0.46299,-9.39688,-1.21794
0.46057,-9.4457,-1.20817
0.45816,-9.54336,-1.19352
0.45574,-9.59219,-1.19352
0.4509,-9.68984,-1.19352
0.44607,-9.73867,-1.19352
0.44365,-9.7875,-1.17887
0.43881,-9.88516,-1.15446
0.43398,-9.93398,-1.13981
0.43156,-9.98281,-1.13005
0.42914,-10.08047,-1.10563
0.42672,-10.1293,-1.07634
0.42431,-10.22695,-1.04704
0.42189,-10.27578,-1.02262
0.42189,-10.37344,-1.01286
0.41947,-10.42227,-1.00309
0.41947,-10.47109,-0.99333
0.41947,-10.51992,-0.98356
0.41705,-10.61758,-0.98845
0.41463,-10.66641,-0.99333
0.41222,-10.71523,-0.99333
0.41222,-10.76406,-0.98356
0.41463,-10.81289,-0.96403
0.41222,-10.86172,-0.93962
0.4098,-10.91055,-0.91032
0.4098,-10.95938,-0.87614
0.41222,-11.05703,-0.83708
0.41222,-11.10586,-0.79802
0.41222,-11.15469,-0.7736
0.4098,-11.20352,-0.76384
0.4098,-11.25234,-0.76384
0.41222,-11.30117,-0.76384
0.41463,-11.35,-0.76384
0.41705,-11.39883,-0.76384
0.41705,-11.39883,-0.76384
0.41463,-11.44766,-0.75407
0.41705,-11.49648,-0.72966
0.41947,-11.54531,-0.69548
0.41947,-11.59414,-0.65641
0.41947,-11.59414,-0.632
0.41947,-11.64297,-0.60759
0.42431,-11.6918,-0.58805
0.42672,-11.74063,-0.56852
0.42672,-11.78945,-0.55388
0.42914,-11.78945,-0.55388
0.43156,-11.83828,-0.55388
0.43398,-11.88711,-0.54899
0.43398,-11.88711,-0.54411
0.4364,-11.93594,-0.53923
0.4364,-11.93594,-0.51481
0.44123,-11.98477,-0.4904
0.44123,-11.98477,-0.45622
0.44123,-12.03359,-0.41716
0.44365,-12.03359,-0.38786
0.44607,-12.08242,-0.35856
0.44848,-12.08242,-0.32927
0.45332,-12.13125,-0.3195
0.45332,-12.18008,-0.31462
0.45574,-12.18008,-0.3195
0.45574,-12.18008,-0.31462
0.45816,-12.22891,-0.30485
0.46057,-12.22891,-0.2902
0.46299,-12.22891,-0.27067
0.46299,-12.22891,-0.25114
0.46299,-12.27773,-0.22673
0.46541,-12.27773,-0.19743
0.46783,-12.27773,-0.16813
0.47266,-12.27773,-0.13395
0.47266,-12.27773,-0.10954
0.47508,-12.32656,-0.09977
0.47508,-12.32656,-0.09489
0.4775,-12.32656,-0.09977
0.48234,-12.32656,-0.09977
0.48475,-12.32656,-0.09977
0.48717,-12.32656,-0.09489
0.48959,-12.32656,-0.08024
0.48959,-12.32656,-0.05095
0.49443,-12.32656,-0.02165
0.50168,-12.32656,0.01253
0.51135,-12.32656,0.04183
0.52344,-12.32656,0.06624
0.53553,-12.32656,0.08089
0.5452,-12.32656,0.09066
0.55488,-12.32656,0.10042
0.56455,-12.32656,0.11019
0.57422,-12.32656,0.12484
0.58389,-12.27773,0.13948
0.60565,-12.27773,0.14925
0.62983,-12.27773,0.14437
0.65643,-12.22891,0.1346
0.67336,-12.27773,0.15902
0.67819,-12.22891,0.21761
