Force,Displacement,Velocity
-68.96,-0.01076406,-0.92985
-66.54,-0.01086172,-0.90544
-64.12,-0.01091055,-0.87126
-61.71,-0.01095938,-0.83708
-59.29,-0.0110082,-0.81755
-56.87,-0.01105703,-0.8029
-54.45,-0.01110586,-0.79802
-54.45,-0.01115469,-0.79313
-54.45,-0.01120352,-0.78825
-52.03,-0.01125234,-0.78825
-52.03,-0.01130117,-0.79313
-52.03,-0.01135,-0.79802
-52.03,-0.01139883,-0.80778
-52.03,-0.01144766,-0.81266
-52.03,-0.01149648,-0.81266
-44.78,-0.01154531,-0.78825
-37.53,-0.01159414,-0.74919
-27.86,-0.01159414,-0.69548
-20.6,-0.0116918,-0.63688
-18.18,-0.0116918,-0.58317
-13.35,-0.01174063,-0.53434
-13.35,-0.01178945,-0.50505
-10.93,-0.01178945,-0.49528
-8.51,-0.01183828,-0.48552
-6.09,-0.01188711,-0.4611
-3.68,-0.01188711,-0.43669
-3.68,-0.01188711,-0.42204
-3.68,-0.01193594,-0.42692
-3.68,-0.01198477,-0.4318
-1.26,-0.01198477,-0.42204
3.58,-0.01198477,-0.39762
8.41,-0.01208242,-0.36833
8.41,-0.01208242,-0.3488
10.83,-0.01208242,-0.32927
10.83,-0.01208242,-0.31462
13.25,-0.01208242,-0.29997
15.67,-0.01213125,-0.27555
15.67,-0.01218008,-0.25602
18.09,-0.01218008,-0.23649
18.09,-0.01218008,-0.22184
22.92,-0.01218008,-0.20231
22.92,-0.01218008,-0.18278
25.34,-0.01222891,-0.16325
27.76,-0.01222891,-0.1486
30.18,-0.01222891,-0.13884
30.18,-0.01222891,-0.12419
30.18,-0.01227773,-0.11442
32.59,-0.01222891,-0.09977
35.01,-0.01222891,-0.08512
37.43,-0.01227773,-0.07048
39.85,-0.01227773,-0.05583
39.85,-0.01227773,-0.04118
42.27,-0.01227773,-0.02653
49.52,-0.01227773,-0.00212
56.77,-0.01222891,0.0223
64.03,-0.01227773,0.04183
73.7,-0.01227773,0.05648
80.95,-0.01227773,0.07113
90.63,-0.01227773,0.10042
97.88,-0.01227773,0.12972
105.13,-0.01222891,0.15902
109.97,-0.01222891,0.17855
126.89,-0.01222891,0.18343
146.24,-0.01222891,0.17855
170.42,-0.01222891,0.1639
192.18,-0.01218008,0.16878
206.69,-0.01218008,0.17366
211.52,-0.01218008,0.19808
206.69,-0.01218008,0.24691
199.43,-0.01213125,0.29573
194.6,-0.01208242,0.3348
189.76,-0.01208242,0.35433
187.34,-0.01203359,0.36898
187.34,-0.01203359,0.38851
189.76,-0.01198477,0.41292
189.76,-0.01198477,0.43734
189.76,-0.01193594,0.45198
187.34,-0.01193594,0.46175
184.93,-0.01188711,0.47152
187.34,-0.01188711,0.48616
189.76,-0.01183828,0.51058
192.18,-0.01183828,0.53499
194.6,-0.01178945,0.54964
194.6,-0.01174063,0.54476
194.6,-0.01174063,0.53499
197.02,-0.0116918,0.53499
197.02,-0.01164297,0.54476
197.02,-0.01159414,0.56429
199.43,-0.01154531,0.58382
201.85,-0.01149648,0.60823
201.85,-0.01149648,0.64241
204.27,-0.01144766,0.68148
206.69,-0.01139883,0.71077
209.11,-0.01135,0.74007
209.11,-0.01130117,0.7596
209.11,-0.01125234,0.77425
209.11,-0.01120352,0.77425
211.52,-0.01115469,0.77425
213.94,-0.01110586,0.7889
213.94,-0.01110586,0.80843
216.36,-0.01105703,0.82796
