Damper Lab
Wed 16 Sep 2015 - 14/28/08
Sample Frequency (S/s): 1000.0
Sample Seconds: 2.00

Scale:	0.49520	10.00000	1.00000
Offset:	-0.41250	-1.36500	0.00700
Force:	Displacement:	Velocity:
0.24296	10.62266	1.04280
0.24296	10.67148	1.03792
0.24538	10.72031	1.02816
0.24538	10.81797	1.01839
0.24538	10.86680	1.00863
0.24538	10.91562	0.99398
0.24054	10.96445	0.96956
0.23812	11.01328	0.94027
0.23570	11.11094	0.92073
0.23570	11.15977	0.90609
0.23329	11.20859	0.88655
0.23329	11.25742	0.86702
0.23329	11.30625	0.85237
0.23329	11.35508	0.85237
0.23329	11.40391	0.85237
0.23329	11.45273	0.85237
0.23087	11.50156	0.83284
0.23087	11.55039	0.80843
0.23087	11.59922	0.78402
0.23087	11.64805	0.76448
0.22845	11.69687	0.74495
0.22845	11.69687	0.72542
0.22845	11.79453	0.70589
0.22845	11.79453	0.68636
0.22603	11.84336	0.66195
0.22603	11.89219	0.64241
0.22603	11.94102	0.62777
0.22603	11.98984	0.61312
0.22361	11.98984	0.59359
0.22361	12.03867	0.57894
0.22361	12.08750	0.56917
0.22603	12.13633	0.55452
0.22361	12.13633	0.53987
0.22120	12.18516	0.52034
0.22120	12.18516	0.50570
0.21878	12.23398	0.49105
0.21636	12.28281	0.47640
0.21636	12.28281	0.45687
0.21394	12.33164	0.43245
0.21394	12.38047	0.40804
0.21152	12.38047	0.38363
0.21152	12.42930	0.36898
0.21152	12.42930	0.35921
0.20911	12.42930	0.35433
0.20911	12.47812	0.34456
0.20669	12.47812	0.32015
0.20669	12.47812	0.30062
0.20669	12.52695	0.29085
0.20427	12.52695	0.28597
0.20185	12.52695	0.26155
0.20185	12.57578	0.23226
0.19943	12.57578	0.20296
0.19702	12.57578	0.19320
0.19702	12.62461	0.18343
0.19460	12.62461	0.16878
0.19218	12.62461	0.14437
0.18976	12.62461	0.11995
0.18734	12.62461	0.11019
0.18493	12.62461	0.10530
0.18251	12.62461	0.09554
0.17767	12.62461	0.07113
0.17284	12.62461	0.04183
0.16558	12.62461	0.01253
0.16075	12.62461	-0.00212
0.15591	12.62461	-0.00700
0.14866	12.62461	-0.01677
0.14140	12.62461	-0.03630
0.12689	12.62461	-0.06071
0.10997	12.62461	-0.07048
0.09304	12.62461	-0.07048
0.07128	12.62461	-0.07048
0.05436	12.62461	-0.08512
0.03743	12.62461	-0.10954
0.02534	12.62461	-0.14372
0.01809	12.62461	-0.17302
0.01567	12.57578	-0.19743
0.01083	12.57578	-0.21696
0.00841	12.52695	-0.23649
0.00600	12.52695	-0.26579
0.00358	12.52695	-0.29509
0.00116	12.47812	-0.31950
0.00116	12.47812	-0.32927
0.00358	12.47812	-0.33903
0.00116	12.42930	-0.35856
-0.00126	12.42930	-0.37809
-0.00368	12.42930	-0.40739
-0.00609	12.38047	-0.42692
-0.00851	12.33164	-0.43669
-0.01093	12.33164	-0.44645
-0.01335	12.28281	-0.46598
-0.01577	12.28281	-0.48552
-0.01577	12.23398	-0.50016
-0.01577	12.18516	-0.50993
-0.01818	12.13633	-0.51481
-0.02060	12.13633	-0.52458
-0.02302	12.13633	-0.54899
-0.02544	12.08750	-0.57829
-0.02786	12.03867	-0.59782
-0.03027	11.98984	-0.60759
-0.03027	11.94102	-0.61735
-0.03269	11.89219	-0.63200
-0.03511	11.84336	-0.65641
-0.03753	11.84336	-0.67595
-0.03994	11.79453	-0.69059
-0.03994	11.74570	-0.70036
-0.04236	11.69687	-0.71501
-0.04720	11.64805	-0.73454
-0.04962	11.59922	-0.75407
-0.04962	11.59922	-0.76384
-0.04962	11.55039	-0.76384
-0.05203	11.45273	-0.76872
-0.05203	11.40391	-0.77360
-0.05203	11.40391	-0.78337
-0.05445	11.35508	-0.79802
-0.05445	11.30625	-0.80290
-0.05687	11.20859	-0.81266
-0.06171	11.20859	-0.83708
-0.06896	11.15977	-0.87126
-0.07621	11.06211	-0.91520
-0.08105	11.06211	-0.94938
-0.08347	10.96445	-0.97380
-0.08589	10.91562	-0.98845
-0.08589	10.86680	-0.99821
-0.08830	10.81797	-1.01286
-0.09314	10.72031	-1.02751
-0.09556	10.67148	-1.04704
-0.09798	10.62266	-1.05680
-0.10039	10.57383	-1.05680
-0.10281	10.47617	-1.07145
-0.10765	10.37852	-1.10075
-0.10765	10.32969	-1.13005
-0.11248	10.28086	-1.13981
-0.11248	10.18320	-1.13981
-0.11490	10.13437	-1.14470
-0.11974	10.08555	-1.15446
-0.12216	9.98789	-1.17399
-0.12457	9.93906	-1.19352
-0.12699	9.84141	-1.20329
-0.12941	9.79258	-1.20817
-0.13183	9.69492	-1.21794
-0.13425	9.64609	-1.24235
-0.13908	9.54844	-1.26677
-0.14150	9.49961	-1.27653
-0.14150	9.40195	-1.28141
-0.14150	9.30430	-1.28141
-0.14392	9.25547	-1.29118
-0.14634	9.15781	-1.31559
-0.15117	9.06016	-1.34001
-0.15601	9.01133	-1.35466
-0.15843	8.96250	-1.35954
-0.16084	8.81602	-1.37419
-0.16326	8.76719	-1.39860
-0.16568	8.66953	-1.41813
-0.17052	8.57187	-1.42790
-0.17052	8.52305	-1.42302
-0.17293	8.42539	-1.41813
-0.17777	8.32773	-1.43278
-0.18019	8.23008	-1.45720
-0.18261	8.13242	-1.48161
-0.18502	8.08359	-1.49137
-0.18744	7.98594	-1.49137
-0.18986	7.88828	-1.49137
-0.19228	7.79063	-1.50114
-0.19469	7.69297	-1.51579
-0.19711	7.59531	-1.52555
-0.20195	7.49766	-1.53044
-0.20437	7.40000	-1.53044
-0.20678	7.35117	-1.54020
-0.20920	7.25352	-1.55973
-0.21162	7.15586	-1.58903
